step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
477,delete,70.517,-1.0,-1.0,0.0,1.87034
478,search,5223.68,0.88425,0.132937,10.895,1.87034
479,delete,252.924,-1.0,-1.0,0.0,1.77785
480,search,5422.44,0.88593,0.13108,10.928,1.77785
481,delete,65.339,-1.0,-1.0,0.0,1.75463
482,search,5447.27,0.8853,0.131296,10.93,1.75463
483,delete,329.813,-1.0,-1.0,0.0,1.625
484,search,5278.61,0.88179,0.134075,11.253,1.625
485,delete,42.313,-1.0,-1.0,0.0,1.61306
486,search,5115.4,0.88156,0.134065,11.307,1.61306
487,delete,20.76,-1.0,-1.0,0.0,1.60918
488,search,5263.3,0.88113,0.134127,11.464,1.60918
